fx,sno,title,imdbRating,id,sentiment
0,0,The Tree of Life (2011),6.7,12311_10,1
1,1,Der Frauenmörder von Paris (1947),8,8348_2,0
2,2,Krieg und Frieden (1956),6.8,5828_4,1
3,3,Conjuring - Die Heimsuchung (2013),7.6,7186_2,1
4,4,Nebraska (2013),7.9,12128_7,1
5,5,Pirates of the Caribbean - Fluch der Karibik 2 (2006),7.3,2913_8,1
6,6,Das magische Schwert - Die Legende von Camelot (1998),6.1,4396_1,0
7,7,The Straight Story - Eine wahre Geschichte (1999),8,395_2,0
8,8,Die rote Wüste (1964),7.7,10616_1,0
9,9,Old Surehand (1965),5.8,9074_9,0
10,10,The Earthling (1980),7.1,9252_3,0
11,11,SCTV Network 90 (TV Series 1981–1983),8.4,9896_9,0
12,12,Die Bill Cosby Show (TV Series 1984–1992),7.5,574_4,0
13,13,Braindead (1992),7.6,11182_8,0
14,14,Rushin' Ballet (1937),7.6,11656_4,0
15,15,Pretender (TV Series 1996–2000),7.5,2322_4,0
16,16,Steve Prefontaine - Der Langstreckenläufer (1997),6.7,8703_1,0
17,17,Eiskalte Engel (1999),6.9,7483_1,0
18,18,Jagd auf Mr. Tout (2001),6.4,6007_10,1
19,19,Couchgeflüster - Die erste therapeutische Liebeskomödie (2005),6.3,12424_4,0
20,20,Cookie Jar (2003),6,4672_1,0
21,21,Hitchcock and Dial M (Video 2004),6.4,10841_3,0
22,22,Deception (2008),6,8954_7,1
23,23,Armored Car Robbery (1950),7,7392_1,0
24,24,Bigger Stronger Faster* (2008),7.7,10288_8,1
25,25,Blitz (2011),6.2,5343_4,0
26,26,Castle Flowers for Your Grave (TV Episode 2009),8.4,4950_1,0
27,27,Il solitario (2008),4.9,9257_4,1
28,28,The Cleveland Show Field of Streams (TV Episode 2010),5.7,8689_3,0
29,29,Talaash (2012),7.4,4480_2,0
30,30,Tanz der toten Seelen (1962),7.2,9286_10,1
31,31,Doctor Who (TV Series 1963–1989),8.6,12245_10,1
32,32,October Road (TV Series 2007–2008),7.5,7529_7,1
